"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS"
"01001","706","589","141","113","836","205","684","149","462"
"01002","777","691","148","184","936","200","597","195","676"
"01003","2041","1633","714","504","2064","392","1853","279","1542"
"01004","1617","1343","352","323","1981","304","1516","343","1101"
"01005","1293","1144","310","242","1567","318","1238","338","861"
"01006","920","680","161","186","1068","185","673","272","655"
"01007","1218","816","277","186","1424","147","888","259","887"
"01008","1977","1349","442","388","2112","384","1363","283","1680"
"01009","1208","1019","308","210","1455","254","1064","202","961"
"01010","1393","1132","374","293","1654","204","985","238","1302"
"01011","1817","1435","460","378","2148","266","1332","297","1623"
"01012","996","943","227","178","1299","235","981","214","744"
"01013","700","748","180","105","941","222","802","122","524"
"01014","1192","944","221","218","1461","236","1044","158","934"
"01015","1214","1165","325","212","1591","251","1062","266","1051"
"01016","1110","1088","277","213","1482","226","978","233","987"
"01017","1291","1313","336","287","1730","251","1161","263","1180"
"01018","794","752","187","164","987","208","808","167","571"
"01019","1622","1370","348","301","2027","316","1264","392","1336"
"01020","1054","1140","145","205","1472","372","1214","458","522"
"01021","1095","1045","159","171","1501","309","1126","389","625"
"01022","823","726","97","186","1054","212","741","307","501"
"01023","1032","1082","147","178","1497","292","1143","412","559"
"01025","697","679","92","129","1001","154","627","387","362"
"01026","6669","1845","485","987","6637","405","1556","551","6407"
"01027","754","796","93","148","1086","223","804","365","381"
"01028","938","958","138","200","1331","227","871","524","501"
"01029","725","709","94","172","1016","152","585","418","431"
"01030","1244","1226","215","254","1623","378","1259","491","720"
"01031","845","754","133","157","1126","183","709","358","532"
"01032","911","897","102","138","1273","295","1013","391","404"
"01033","568","553","82","77","786","176","602","214","305"
"01034","455","481","50","95","639","152","534","220","182"
"01035","636","628","78","122","858","206","692","284","288"
"01036","563","629","105","122","725","240","884","136","172"
"01037","650","734","127","126","852","279","980","198","206"
"01038","841","705","102","135","1133","176","722","376","448"
"01039","680","679","91","125","917","226","823","239","297"
"01040","537","560","81","84","736","196","587","268","242"
"01041","788","790","119","129","1170","160","725","383","470"
"01042","813","952","159","146","999","461","1334","204","227"
"01043","833","783","160","137","1121","198","925","377","314"
"01044","668","745","141","113","968","191","845","310","258"
"01045","995","994","115","134","1491","249","980","550","459"
"01046","930","862","131","149","1300","212","834","509","449"
"01047","813","904","126","143","1189","259","928","362","427"
"01048","1027","1063","205","210","1425","250","1106","428","556"
"01049","730","804","205","149","974","206","800","289","445"
"01050","776","790","146","127","1086","207","813","347","406"
"01051","950","909","172","152","1369","166","891","413","555"
"01052","1606","1250","254","645","1621","336","1408","528","920"
"01053","888","971","141","144","1226","348","1133","352","374"
"01054","636","602","89","96","877","176","668","286","284"
"01055","649","688","152","98","762","325","954","216","167"
"02001","625","654","164","112","775","228","926","119","234"
"02002","1901","1599","357","345","2271","527","1631","246","1623"
"02003","504","653","94","157","596","310","914","101","142"
"02004","755","783","154","145","938","301","1026","200","312"
"02005","936","1117","213","167","1129","544","1652","139","262"
"02006","793","887","198","141","941","400","1244","191","245"
"02007","568","719","116","97","744","330","956","171","160"
"02008","882","1025","205","194","1086","422","1447","236","224"
"02009","841","986","219","149","1094","365","1346","174","307"
"02010","581","660","143","108","716","274","949","117","175"
"02011","550","570","91","111","646","272","925","105","90"
"02012","770","798","174","139","912","343","1157","125","286"
"02013","577","606","134","112","747","190","851","158","174"
"02014","675","700","164","115","893","203","980","186","209"
"02015","762","823","155","133","973","324","1106","165","314"
"02016","853","1020","193","137","1108","435","1482","167","224"
"02017","886","1045","206","184","1144","397","1486","184","261"
"02018","843","992","206","160","970","499","1445","164","226"
"02019","936","1049","225","155","1169","436","1499","187","299"
"02020","700","791","135","140","967","249","1009","195","287"
"02021","723","803","164","105","911","346","1162","147","217"
