Municipalities;Indicadores de renta media;Period;Total
08001 Abrera;Índice de Gini;2017;26.2
08001 Abrera;Índice de Gini;2016;26.7
08001 Abrera;Índice de Gini;2015;27.3
08001 Abrera;Distribución de la renta P80/P20;2017;2.3
08001 Abrera;Distribución de la renta P80/P20;2016;2.3
08001 Abrera;Distribución de la renta P80/P20;2015;2.4
0800101 Abrera distrito 01;Índice de Gini;2017;26.2
0800101 Abrera distrito 01;Índice de Gini;2016;26.7
0800101 Abrera distrito 01;Índice de Gini;2015;27.3
0800101 Abrera distrito 01;Distribución de la renta P80/P20;2017;2.3
0800101 Abrera distrito 01;Distribución de la renta P80/P20;2016;2.3
0800101 Abrera distrito 01;Distribución de la renta P80/P20;2015;2.4
0800101004 Abrera sección 01004;Índice de Gini;2017;25.2
0800101004 Abrera sección 01004;Índice de Gini;2016;26.7
0800101004 Abrera sección 01004;Índice de Gini;2015;26.7
0800101004 Abrera sección 01004;Distribución de la renta P80/P20;2017;2.0
0800101004 Abrera sección 01004;Distribución de la renta P80/P20;2016;2.2
0800101004 Abrera sección 01004;Distribución de la renta P80/P20;2015;2.4
0800101007 Abrera sección 01007;Índice de Gini;2017;25.5
0800101007 Abrera sección 01007;Índice de Gini;2016;26.2
0800101007 Abrera sección 01007;Índice de Gini;2015;27.2
0800101007 Abrera sección 01007;Distribución de la renta P80/P20;2017;2.3
0800101007 Abrera sección 01007;Distribución de la renta P80/P20;2016;2.3
0800101007 Abrera sección 01007;Distribución de la renta P80/P20;2015;2.4
0800101001 Abrera sección 01001;Índice de Gini;2017;26.6
0800101001 Abrera sección 01001;Índice de Gini;2016;25.9
0800101001 Abrera sección 01001;Índice de Gini;2015;26.9
0800101001 Abrera sección 01001;Distribución de la renta P80/P20;2017;2.4
0800101001 Abrera sección 01001;Distribución de la renta P80/P20;2016;2.2
0800101001 Abrera sección 01001;Distribución de la renta P80/P20;2015;2.3
0800101003 Abrera sección 01003;Índice de Gini;2017;25.6
0800101003 Abrera sección 01003;Índice de Gini;2016;25.9
0800101003 Abrera sección 01003;Índice de Gini;2015;27.7
0800101003 Abrera sección 01003;Distribución de la renta P80/P20;2017;2.1
0800101003 Abrera sección 01003;Distribución de la renta P80/P20;2016;2.1
0800101003 Abrera sección 01003;Distribución de la renta P80/P20;2015;2.2
0800101008 Abrera sección 01008;Índice de Gini;2017;26.5
0800101008 Abrera sección 01008;Índice de Gini;2016;26.8
0800101008 Abrera sección 01008;Índice de Gini;2015;26.9
0800101008 Abrera sección 01008;Distribución de la renta P80/P20;2017;2.2
0800101008 Abrera sección 01008;Distribución de la renta P80/P20;2016;2.2
0800101008 Abrera sección 01008;Distribución de la renta P80/P20;2015;2.5
0800101005 Abrera sección 01005;Índice de Gini;2017;24.0
0800101005 Abrera sección 01005;Índice de Gini;2016;24.7
0800101005 Abrera sección 01005;Índice de Gini;2015;24.3
0800101005 Abrera sección 01005;Distribución de la renta P80/P20;2017;2.1
0800101005 Abrera sección 01005;Distribución de la renta P80/P20;2016;2.2
0800101005 Abrera sección 01005;Distribución de la renta P80/P20;2015;2.2
0800101002 Abrera sección 01002;Índice de Gini;2017;27.7
0800101002 Abrera sección 01002;Índice de Gini;2016;28.3
0800101002 Abrera sección 01002;Índice de Gini;2015;29.4
0800101002 Abrera sección 01002;Distribución de la renta P80/P20;2017;2.3
0800101002 Abrera sección 01002;Distribución de la renta P80/P20;2016;2.6
0800101002 Abrera sección 01002;Distribución de la renta P80/P20;2015;2.4
08002 Aguilar de Segarra;Índice de Gini;2017;24.8
08002 Aguilar de Segarra;Índice de Gini;2016;29.3
08002 Aguilar de Segarra;Índice de Gini;2015;26.1
08002 Aguilar de Segarra;Distribución de la renta P80/P20;2017;2.0
08002 Aguilar de Segarra;Distribución de la renta P80/P20;2016;2.0
08002 Aguilar de Segarra;Distribución de la renta P80/P20;2015;2.1
0800201 Aguilar de Segarra distrito 01;Índice de Gini;2017;24.8
0800201 Aguilar de Segarra distrito 01;Índice de Gini;2016;29.3
0800201 Aguilar de Segarra distrito 01;Índice de Gini;2015;26.1
0800201 Aguilar de Segarra distrito 01;Distribución de la renta P80/P20;2017;2.0
0800201 Aguilar de Segarra distrito 01;Distribución de la renta P80/P20;2016;2.0
0800201 Aguilar de Segarra distrito 01;Distribución de la renta P80/P20;2015;2.1
0800201001 Aguilar de Segarra sección 01001;Índice de Gini;2017;24.8
0800201001 Aguilar de Segarra sección 01001;Índice de Gini;2016;29.3
0800201001 Aguilar de Segarra sección 01001;Índice de Gini;2015;26.1
0800201001 Aguilar de Segarra sección 01001;Distribución de la renta P80/P20;2017;2.0
0800201001 Aguilar de Segarra sección 01001;Distribución de la renta P80/P20;2016;2.0
0800201001 Aguilar de Segarra sección 01001;Distribución de la renta P80/P20;2015;2.1
08014 Aiguafreda;Índice de Gini;2017;28.1
08014 Aiguafreda;Índice de Gini;2016;28.3
08014 Aiguafreda;Índice de Gini;2015;29.6
08014 Aiguafreda;Distribución de la renta P80/P20;2017;2.1
08014 Aiguafreda;Distribución de la renta P80/P20;2016;2.3
08014 Aiguafreda;Distribución de la renta P80/P20;2015;2.4
0801401 Aiguafreda distrito 01;Índice de Gini;2017;28.1
0801401 Aiguafreda distrito 01;Índice de Gini;2016;28.3
0801401 Aiguafreda distrito 01;Índice de Gini;2015;29.6
